Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
155000,1.0879604,116.76190476190476,-0.05038396,0.45235687,-0.09932875420366015,-0.09932875420366015,0.3723278801356043,1.0
160000,1.0717278,167.26666666666668,-0.052349888,0.5566606,-0.08048562370240689,-0.08048562370240689,1.149161263803641,1.0
165000,1.0702951,149.41176470588235,-0.043718915,0.6037063,-0.08709847192992182,-0.08709847192992182,1.4730515545781921,1.0
170000,1.0448285,141.52941176470588,-0.041780654,0.5684058,-0.09100405477425631,-0.09100405477425631,0.5286993024980321,1.0
175000,1.0448287,147.47058823529412,-0.0461947,0.63777655,-0.0852223502143341,-0.0852223502143341,0.7070766428814215,1.0
180000,1.0350447,150.21212121212122,-0.04411971,0.66822803,-0.0809461788246126,-0.0809461788246126,0.7752153801195549,1.0
185000,1.0348122,154.96875,-0.043301165,0.77743375,-0.08164975955151021,-0.08164975955151021,0.9380253744311631,1.0
190000,1.0232792,170.06666666666666,-0.037655618,0.7945955,-0.07040596815447013,-0.07040596815447013,1.024629416068395,1.0
195000,1.021811,196.03846153846155,-0.040033028,0.8554898,-0.06503091838497382,-0.06503091838497382,1.052655621789969,1.0
200000,1.0016075,173.66666666666666,-0.037430312,0.7803824,-0.06724019031281825,-0.06724019031281825,0.8730643435760781,1.0
205000,0.9989568,173.86206896551724,-0.04073848,0.7459451,-0.07400862679913126,-0.07400862679913126,0.8692145573681799,1.0
210000,0.99465895,210.375,-0.031270374,0.862387,-0.05718736241882046,-0.05718736241882046,1.0356472258766491,1.0
215000,0.99328697,185.15384615384616,-0.03923859,0.6908513,-0.06592982778182396,-0.06592982778182396,0.8084926794354732,1.0
220000,0.9792823,185.4814814814815,-0.035715442,0.8731077,-0.05958637774542526,-0.05958637774542526,1.085628855007666,1.0
225000,0.9736539,204.76,-0.03540713,0.9013057,-0.056527627855539324,-0.056527627855539324,1.314487909078598,1.0
230000,0.959435,213.30434782608697,-0.0334494,0.7521873,-0.05032520263415316,-0.05032520263415316,1.0215934398381605,1.0
235000,0.9513779,245.75,-0.033962585,0.7644744,-0.03274542205035687,-0.03274542205035687,1.3384681612253189,1.0
240000,0.93995273,202.6,-0.03507588,0.80682135,-0.05615217983722687,-0.05615217983722687,0.9718142396211624,1.0
245000,0.9313353,182.03703703703704,-0.030519867,0.77044576,-0.06197631759224115,-0.06197631759224115,0.9284251188790357,1.0
250000,0.925613,205.41666666666666,-0.03217492,0.76428014,-0.05406661300609509,-0.05406661300609509,1.0743459810813267,1.0
255000,0.9198293,185.77777777777777,-0.035061494,0.67198783,-0.05823258048406354,-0.05823258048406354,0.8154356937717508,1.0
260000,0.9081697,204.83333333333334,-0.035897333,0.8357908,-0.046204769828667246,-0.046204769828667246,1.1464086001118023,1.0
265000,0.89368874,207.58333333333334,-0.030145625,0.7208975,-0.040971510112285614,-0.040971510112285614,1.0519496475656827,1.0
270000,0.8882261,201.16,-0.030106358,0.6973877,-0.05231915503740311,-0.05231915503740311,0.9770693653821945,1.0
275000,0.87983745,206.2,-0.029752094,0.698851,-0.047346406057476996,-0.047346406057476996,0.8807671742141246,1.0
